source_id,название,тип источника,юрисдикция,орган или автор,дата,номер,URL,официальный статус,статус действия,раздел доклада,подтверждаемое утверждение,качество источника,ограничения
S001,"Конституция Российской Федерации (принята всенародным голосованием 12.12.1993, с изм.)",Конституция,РФ,-,12.12.1993,-,http://www.constitution.ru/,Официальный текст,Действует,"Гл.6,16","Верховенство прав человека, социальное государство (ст.2,7,17,19,39,41)",A,-
S002,ФЗ от 28.12.2013 № 442-ФЗ «Об основах социального обслуживания граждан в Российской Федерации»,Федеральный закон,РФ,Госдума/Президент РФ,28.12.2013,442-ФЗ,http://www.kremlin.ru/acts/bank/38016,Банк актов на сайте Президента РФ,Действует (ред. от 26.12.2024 № 476-ФЗ),"Гл.2,6,12,13","Полномочия по нормам питания: ст.7 ч.2 п.7 (рекомендуемые нормы — Минтруд), ст.8 (нормы питания — субъект РФ), ст.8 п.11,14 (тарифы, плата), ст.31 (плата)",A,-
S003,Закон РФ от 02.07.1992 № 3185-1 «О психиатрической помощи и гарантиях прав граждан при ее оказании»,Закон,РФ,ВС РФ,02.07.1992,3185-1,https://www.consultant.ru/document/cons_doc_LAW_4205/,КонсультантПлюс (вспом.),Действует,"Гл.6,7,15",Ст.5: права лиц с психическими расстройствами; запрет ограничений по диагнозу/факту пребывания в стационарной организации соцобслуживания (ч.3),B,Вспомогательный источник текста
S004,"ГК РФ (часть первая) от 30.11.1994 № 51-ФЗ, ст. 21–32, 36",Кодекс,РФ,Госдума/Президент РФ,30.11.1994,51-ФЗ,https://www.consultant.ru/document/cons_doc_LAW_5142/,КонсультантПлюс (вспом.),Действует,Гл.7,"Ст.36 п.3: опекун исполняет функции с учетом мнения подопечного, при невозможности — с учетом информации о предпочтениях; ст.29,30,32",B,-
S005,ФЗ от 24.04.2008 № 48-ФЗ «Об опеке и попечительстве»,Федеральный закон,РФ,Госдума/Президент РФ,24.04.2008,48-ФЗ,http://www.kremlin.ru/acts/bank/27263,Банк актов на сайте Президента РФ,Действует,Гл.7,"Ст.1 ч.2, ст.15 ч.5: организация, в которую помещен под надзор недееспособный, исполняет обязанности опекуна",A,-
S006,ФЗ от 21.11.2011 № 323-ФЗ «Об основах охраны здоровья граждан в Российской Федерации»,Федеральный закон,РФ,Госдума/Президент РФ,21.11.2011,323-ФЗ,https://www.garant.ru/products/ipo/prime/doc/402694474/,"Гарант (вспом., письмо Минздрава 28-1/И/2-11090)",Действует,"Гл.6,10","Ст.39: понятие лечебного питания, стандартные диеты; граница медицинской деятельности",B,Текст ст.39 подтвержден через письмо Минздрава
S007,ФЗ от 27.07.2006 № 152-ФЗ «О персональных данных»,Федеральный закон,РФ,Госдума/Президент РФ,27.07.2006,152-ФЗ,https://www.consultant.ru/document/cons_doc_LAW_61801/,КонсультантПлюс (вспом.),Действует,"Гл.6,11,15","Ст.10: сведения о здоровье — специальная категория ПДн; основания обработки (согласие, мед.цели, защита жизни)",B,-
S008,Постановление Главного государственного санитарного врача РФ от 27.10.2020 № 32 «Об утверждении СанПиН 2.3/2.4.3590-20»,Санитарные правила,РФ,ГГСВ РФ,27.10.2020,32,https://base.garant.ru/74891586/53f89421bbdaf741eb2d1ecc4ddb4c33/,Гарант (вспом.),"Действует (изм. от 22.08.2024 № 9, в силе с 01.03.2025)","Гл.6,10,14",Санитарно-эпидемиологические требования к организации общественного питания населения (применимы к пищеблокам организаций соцобслуживания),B,-
S009,Изменения в СанПиН 2.3/2.4.3590-20 (постановление ГГСВ от 22.08.2024 № 9): обзор Роспотребнадзора,Разъяснение регулятора,РФ,Роспотребнадзор,22.08.2024,9,https://cgon.rospotrebnadzor.ru/biznesu/profilaktika-nadzor-uslsugi/profilakticheskie-meropriatiya/izmeneniya-v-sanpin-2-3-2-4-3590-20-sanitarno-epidemiologicheskie-trebovaniya-k-organizatsii-obshche/,Официальный сайт Роспотребнадзора (ЦГОН),Действует с 01.03.2025,"Гл.6,10","Перечень изменений СанПиН: термометры, 2 часа реализации блюд в детских коллективах, соль, вентиляция",A,"Обзор, не сам текст постановления"
S010,Приказ Минтруда России от 13.09.2022 № 520н «Об утверждении рекомендуемых норм питания при предоставлении социальных услуг в стационарной форме социального обслуживания»,Приказ,РФ,Минтруд России,13.09.2022,520н,https://www.garant.ru/products/ipo/prime/doc/405607433/,Гарант (вспом.),Действует,"Гл.6,10,12",Рекомендуемые (не обязательные) натуральные нормы питания для получателей соцуслуг 18+ в стационарной форме; СБКС и ВМК — по медпоказаниям,B,Рекомендательный характер
S011,Приказ Минтруда России от 13.09.2022 № 519н «Об утверждении рекомендуемых норм питания при предоставлении социальных услуг в полустационарной форме социального обслуживания»,Приказ,РФ,Минтруд России,13.09.2022,519н,https://pravo.ppt.ru/prikaz/mintrud/n-519n-287852,Право.ру (вспом.),"Действует (заменил 954н от 28.11.2014)",Гл.6,Существование рекомендуемых норм для полустационарной формы,B,"954н признан утратившим силу приказом Минтруда от 15.11.2022 № 720н; действующий акт — 519н от 13.09.2022"
S012,"Приказ Минтруда России от 24.11.2014 № 940н «Об утверждении Правил организации деятельности организаций социального обслуживания, их структурных подразделений»",Приказ,РФ,Минтруд России,24.11.2014,940н,https://eml-cson.ru/нормативно-правовые-акты-регламенти/,Перечень актов на сайте ГБУСО (вспом.),Действует,Гл.6,Правила организации деятельности организаций соцобслуживания (рекомендуемые нормативы штатной численности и оснащения),C,То же
S013,Постановление Правительства РФ от 18.10.2014 № 1075 «Об утверждении Правил определения среднедушевого дохода для предоставления социальных услуг бесплатно»,Постановление,РФ,Правительство РФ,18.10.2014,1075,https://zabota365.ru/wp-content/uploads/2021/03/postanovlenie-pravitelstva-sankt-peterburga-ot-30.06.2016-n-530-o-razmere-platy-za-predostavlenie-soczialnyh-uslug-poryadke-vzimaniya-platy.pdf,Ссылка подтверждена через ПП СПб № 530,Действует,Гл.12,Правила расчета среднедушевого дохода для бесплатных соцуслуг,B,Реквизиты подтверждены через региональный акт
S014,Постановление Правительства РФ от 24.11.2014 № 1236 «Об утверждении примерного перечня социальных услуг по видам социальных услуг»,Постановление,РФ,Правительство РФ,24.11.2014,1236,https://eml-cson.ru/нормативно-правовые-акты-регламенти/,Перечень актов (вспом.),Действует,Гл.6,Примерный перечень соцуслуг; питание относится к социально-бытовым услугам,C,Реквизиты через перечень
S015,Постановление Правительства РФ от 01.12.2014 № 1285 «О расчете подушевых нормативов финансирования социальных услуг»,Постановление,РФ,Правительство РФ,01.12.2014,1285,https://eml-cson.ru/нормативно-правовые-акты-регламенти/,Перечень актов (вспом.),Действует,Гл.12,Подушевые нормативы финансирования — основа тарифов,C,То же
S016,Приказ Минздрава России от 21.06.2013 № 395н «Об утверждении норм лечебного питания»,Приказ,РФ,Минздрав России,21.06.2013,395н,https://www.garant.ru/products/ipo/prime/doc/402694474/,"Гарант (вспом., письмо Минздрава)",Действует,"Гл.6,10","Нормы лечебного питания по 6 стандартным диетам (ОВД, ЩД, ВБД, НБД, НКД, ВКД); адресат — медицинские организации",B,Применимость к соцучреждениям — только как ориентир (см. гл.6)
S017,Приказ Минздрава России от 23.09.2020 № 1008н «Об утверждении Порядка обеспечения пациентов лечебным питанием»,Приказ,РФ,Минздрав России,23.09.2020,1008н,https://normativ.kontur.ru/document?moduleId=1&documentId=372061,Контур.Норматив (вспом.),Действует,"Гл.6,10",Назначение диеты врачом ≤4 ч от поступления; корректировка ≤48 ч; номенклатура стандартных диет,B,Адресат — медицинские организации
