legal_id;полное название;вид документа;орг принятия;дата;номер;дата опубликования;дата вступления в силу;статус на дату исследования;применимая редакция;статьи пункты;официальный URL;резервный URL;дата проверки;применимость к объекту;обязательный или рекомендательный;ограничения интерпретации
LEG_001;Конституция Российской Федерации;Конституция;всенародное голосование;1993-12-12;;;1993-12-25;действующий;актуальная редакция (требует проверки);статьи 2,7,18-25,38-41,45-46,55;publication.pravo.gov.ru;;2026-07-22;применима;обязательный;основы правового статуса;редакция требует проверки
LEG_002;ФЗ Об основах социального обслуживания граждан в РФ;Федеральный закон;Государственная Дума;2013-12-28;442-ФЗ;;;действующий;актуальная редакция (требует проверки);статьи 5,7,8,15-18,23,24,28,31,32,154-155;publication.pravo.gov.ru;;2026-07-22;применим;обязательный;рамки социального обслуживания;редакция требует проверки
LEG_003;Закон РФ О психиатрической помощи и гарантиях прав граждан при ее оказании;Закон РФ;Верховный Совет РФ;1992-07-02;3185-1;;;действующий;актуальная редакция (требует проверки);статьи 1,4-13,40-44;publication.pravo.gov.ru;;2026-07-22;применим (сопоставление);обязательный;психиатрическая помощь;редакция требует проверки
LEG_004;Гражданский кодекс РФ часть 1;Кодекс;Государственная Дума;1994-11-30;51-ФЗ;;;действующий;актуальная редакция (требует проверки);статьи 21,29-41;publication.pravo.gov.ru;;2026-07-22;применим;обязательный;дееспособность опека;редакция требует проверки
LEG_005;ФЗ Об опеке и попечительстве;Федеральный закон;Государственная Дума;2008-04-24;48-ФЗ;;;действующий;актуальная редакция (требует проверки);статьи 1,8-12,21-26;publication.pravo.gov.ru;;2026-07-22;применим;обязательный;опека и попечительство;редакция требует проверки
LEG_006;ФЗ Об основах охраны здоровья граждан в РФ;Федеральный закон;Государственная Дума;2011-11-21;323-ФЗ;;;действующий;актуальная редакция (требует проверки);статьи 2,20,23,37,40-43;publication.pravo.gov.ru;;2026-07-22;применим;обязательный;охрана здоровья;редакция требует проверки
LEG_007;ФЗ О контрактной системе в сфере закупок;Федеральный закон;Государственная Дума;2013-04-05;44-ФЗ;;;действующий;актуальная редакция (требует проверки);статьи 8,22,24,33,94,95;publication.pravo.gov.ru;;2026-07-22;применим (для казенных/бюджетных учреждений);обязательный;закупки;статус учреждения требует проверки;редакция требует проверки
LEG_008;Бюджетный кодекс РФ;Кодекс;Государственная Дума;1998-07-31;145-ФЗ;;;действующий;актуальная редакция (требует проверки);статьи 6,69.2,160,161,162,217-220;publication.pravo.gov.ru;;2026-07-22;применим;обязательный;бюджетное регулирование;редакция требует проверки
LEG_009;ФЗ О порядке рассмотрения обращений граждан;Федеральный закон;Государственная Дума;2006-05-02;59-ФЗ;;;действующий;актуальная редакция (требует проверки);статьи 1-12;publication.pravo.gov.ru;;2026-07-22;применим (вспомогательный);обязательный;обращения граждан;редакция требует проверки
LEG_010;ФЗ О персональных данных;Федеральный закон;Государственная Дума;2006-07-27;152-ФЗ;;;действующий;актуальная редакция (требует проверки);статьи 1-18;publication.pravo.gov.ru;;2026-07-22;применим;обязательный;персональные данные;редакция требует проверки
LEG_011;Трудовой кодекс РФ;Кодекс;Государственная Дума;2001-12-30;197-ФЗ;;;действующий;актуальная редакция (требует проверки);статьи 21,22,81,192-248,277;publication.pravo.gov.ru;;2026-07-22;применим;обязательный;трудовая ответственность;редакция требует проверки
LEG_012;Кодекс РФ об административных правонарушениях;Кодекс;Государственная Дума;2001-12-30;195-ФЗ;;;действующий;актуальная редакция (требует проверки);статьи по санитарным, закупочным, ПД нарушениям (номера требуют проверки);publication.pravo.gov.ru;;2026-07-22;применим;обязательный;административная ответственность;конкретные статьи требуют проверки
LEG_013;Уголовный кодекс РФ;Кодекс;Государственная Дума;1996-06-13;63-ФЗ;;;действующий;актуальная редакция (требует проверки);статьи 109,118,143,238,285-286,293 (номера требуют проверки);publication.pravo.gov.ru;;2026-07-22;применим;обязательный;уголовная ответственность;конкретные статьи требуют проверки;требует осторожной оценки
LEG_014;ФЗ О закупках отдельными видами юрлиц;Федеральный закон;Государственная Дума;2011-07-18;223-ФЗ;;;действующий;актуальная редакция (требует проверки);статьи 1-8;publication.pravo.gov.ru;;2026-07-22;применимость требует проверки статуса учреждения;обязательный (при применимости);закупки 223-ФЗ;статус учреждения требует проверки
LEG_015;Конвенция ООН о правах инвалидов;Международный договор;ООН;2006-12-13;;;2008-05-03 (ратификация РФ);ратифицирована РФ (статус требует проверки);актуальная редакция;статьи 1-5,9,12,19,21,25,26,28;;;2026-07-22;применима (статус требует проверки);обязательный (при ратификации);права инвалидов;применимость в РФ требует проверки
LEG_016;ТР ТС 021/2011 О безопасности пищевой продукции;Технический регламент ЕАЭС;Комиссия Таможенного союза;2011-12-09;;;действующий;актуальная редакция (требует проверки);статьи по безопасности;publication.pravo.gov.ru;;2026-07-22;применим;обязательный;безопасность пищевых продуктов;редакция требует проверки
LEG_017;Санитарные правила по организации питания;СанПиН;Роспотребнадзор;;;не определено (реквизиты требуют проверки);не определено;требуется проверка действующего документа;;;2026-07-22;применим;обязательный;санитарные требования;реквизиты действующего документа требуют проверки
LEG_018;Федеральные стандарты государственных финансов;Стандарты;Минфин России;;;действующий (редакция требует проверки);актуальная редакция;;;2026-07-22;применим;обязательный;бухгалтерский учет;редакция требует проверки
LEG_019;ФЗ-273 О противодействии коррупции;Федеральный закон;Государственная Дума;2008-12-25;273-ФЗ;;;действующий;актуальная редакция (требует проверки);статьи 1-13;publication.pravo.gov.ru;;2026-07-22;применим;обязательный;антикоррупционные меры;редакция требует проверки
LEG_020;Постановление Правительства РФ о формировании государственного задания;Постановление;Правительство РФ;;;не определено (реквизиты требуют проверки);актуальная редакция;;;2026-07-22;применим;обязательный;государственное задание;реквизиты требуют проверки
