control_id;орган;предмет контроля;правовое основание (требует проверки);возможные документы;типичные нарушения;возможные последствия;статус верификации;примечание
CTRL_001;Учредитель;исполнение государственного задания;БК РФ ФЗ-442;;;корректировка задания дисциплинарная ответственность;не верифицировано;требуется проверка актуальных оснований
CTRL_002;Органы соцзащиты субъекта РФ;качество социального обслуживания;ФЗ-442;;;предписания;не верифицировано;требуется проверка
CTRL_003;Финансовый орган субъекта РФ;бюджетное исполнение;БК РФ;;;корректировка бюджета;не верифицировано;требуется проверка
CTRL_004;Федеральное казначейство (территориальные органы);казначейский контроль;БК РФ;;;санкции;не верифицировано;требуется проверка
CTRL_005;Контрольно-счетные органы субъектов РФ;финансовый контроль;БК РФ законы о КСО;;;представления;не верифицировано;требуется проверка
CTRL_006;Внутренний финансовый контроль;контроль учреждения;БК РФ;;;устранение;не верифицировано;требуется проверка
CTRL_007;Роспотребнадзор;санитарный контроль;законодательство о санэпидблагополучии;;;штрафы приостановление;не верифицировано;требуется проверка
CTRL_008;Росздравнадзор;медицинская деятельность (в пределах компетенции);ФЗ-323;;;штрафы;не верифицировано;требуется проверка;применимость требует проверки
CTRL_009;Прокуратура;надзор;ФЗ о прокуратуре;;;представления штрафы;не верифицировано;требуется проверка
CTRL_010;ФАС России;закупки;ФЗ-44 КоАП;;;штрафы жалобы;не верифицировано;требуется проверка
CTRL_011;Органы опеки;опека и попечительство;ГК РФ ФЗ-48;;;представления;не верифицировано;требуется проверка
CTRL_012;Трудовая инспекция;трудовое законодательство;ТК РФ;;;предписания штрафы;не верифицировано;требуется проверка
