claim_id;текст утверждения;глава;source_id;точное место в источнике;уровень уверенности;проверено человеком;комментарий
CLM_001;ФЗ-442 закрепляет принципы уважения достоинства и учета индивидуальных особенностей;02;SRC_002;статьи 7-8 (требует проверки актуальной редакции);средний;нет;базовый принцип;требует проверки редакции
CLM_002;Законодательство не содержит прямого запрета на выбор блюд;02,04;SRC_002;отсутствие прямого запрета (аналитический вывод);средний;нет;аналитический вывод автора;требует системного толкования
CLM_003;Региональный уровень устанавливает натуральные нормы и финансовый норматив;08,12;SRC_002 SRC_022;статьи 5,8 ФЗ-442 (требует проверки);средний;нет;аналитический вывод;требует проверки по каждому субъекту
CLM_004;Стоимость вариативного меню превышает единое на 5-40 процентов (иллюстративно);12;—;иллюстративный расчет;низкий;нет;иллюстративный;не финансовый норматив
CLM_005;Директор не отвечает автоматически за каждое нарушение;02,15;SRC_011 SRC_012 SRC_013;общие принципы ответственности;средний;нет;аналитический вывод;требует индивидуальной оценки
CLM_006;Формальная имитация выбора создает больший риск чем отсутствие;02,08,17;—;аналитический вывод;средний;нет;аналитический вывод автора
CLM_007;Медицинские ограничения имеют приоритет над предпочтениями;05,11,17;SRC_006;статьи ФЗ-323 (требует проверки);средний;нет;аналитический вывод
CLM_008;Конвенция ООН о правах инвалидов ратифицирована РФ;09,16;SRC_015;статус требует проверки;низкий;нет;требует проверки статуса
CLM_009;ФЗ-44 применим к казенным и бюджетным учреждениям;13;SRC_007;статьи 1-8 (требует проверки);средний;нет;статус учреждения требует проверки
CLM_010;Плата за стационарные услуги определяется ст.32 ФЗ-442;12;SRC_002;статья 32 (требует проверки);средний;нет;актуальная редакция требует проверки
CLM_011;Натуральные нормы обязательны для учреждения;12;SRC_022 SRC_023;региональные акты (требует проверки);средний;нет;требует проверки по субъекту
CLM_012;Раздельный учет расходов на питание обязателен;12,14;SRC_008 SRC_018;БК РФ стандарты (требует проверки);средний;нет;аналитический вывод
CLM_013;Обязательная экспертиза при приемке по ФЗ-44;13;SRC_007;статья 94 (требует проверки);средний;нет;актуальная редакция требует проверки
CLM_014;Дробление закупок — нарушение законодательства;13;SRC_007;аналитический вывод на основе ФЗ-44;средний;нет;конкретная статья КоАП требует проверки
CLM_015;Пищевое отравление — критический риск;17;—;аналитический вывод;средний;нет;оценка экспертная
CLM_016;Аспирация при дисфагии — высокий риск;05,17;—;медицинский риск;средний;нет;требует медицинской оценки
CLM_017;Учреждение-опекун сталкивается с конфликтом интересов;07,B;SRC_005;ФЗ-48 (требует проверки);средний;нет;аналитический вывод
CLM_018;Диагноз не означает автоматически неспособность к выбору;11;—;аналитический вывод;средний;нет;принцип недискриминации
CLM_019;Перенос практики одного субъекта на другой недопустим;08;—;аналитический вывод;средний;нет;различие регионального регулирования
CLM_020;Превентивные меры дешевле реактивных;02,17;—;аналитический вывод;средний;нет;управленческий принцип
