country_id;страна;регулятор;сайт_регулятора;статус_доступа;закон_long_term_care;руководство_по_питанию;URL;верифицировано;дата_проверки;примечание
COUNTRY_FI;Финляндия;THL;thl.fi;не проверено;требует проверки;требует проверки;—;нет;2026-07-22;—
COUNTRY_SE;Швеция;Socialstyrelsen;socialstyrelsen.se;timeout;требует проверки;требует проверки;—;нет;2026-07-22;сайт недоступен
COUNTRY_NO;Норвегия;Helsedirektoratet;helsedirektoratet.no;не проверено;требует проверки;требует проверки;—;нет;2026-07-22;—
COUNTRY_DK;Дания;Sundhedsstyrelsen;sst.dk;timeout/403;требует проверки;требует проверки;—;нет;2026-07-22;сайт недоступен
COUNTRY_DE;Германия;Medizinischer Dienst;md-bund.de;не проверено;требует проверки;требует проверки;—;нет;2026-07-22;—
COUNTRY_FR;Франция;HAS;has-sante.fr;не проверено;требует проверки;требует проверки;—;нет;2026-07-22;—
COUNTRY_UK;Великобритания;CQC;cqc.org.uk;главная 200; страницы 404;требует проверки;требует проверки;—;нет;2026-07-22;актуальный URL требует поиска
COUNTRY_CA;Канада;Accreditation Canada;accreditation.ca;не проверено;требует проверки;требует проверки;—;нет;2026-07-22;—
COUNTRY_US_CMS;США;CMS;cms.gov;не проверено;требует проверки;требует проверки;—;нет;2026-07-22;—
COUNTRY_US_CDC;США;CDC;cdc.gov;timeout;требует проверки;требует проверки;—;нет;2026-07-22;сайт недоступен
COUNTRY_AU_ACQ;Австралия;Aged Care Quality;agedcarequality.gov.au;301;требует проверки;требует проверки;—;нет;2026-07-22;актуальный URL стандарта требует поиска
COUNTRY_AU_AIHW;Австралия;AIHW;aihw.gov.au;403;требует проверки;требует проверки;—;нет;2026-07-22;сайт недоступен
COUNTRY_JP;Япония;MHLW;mhlw.go.jp;не проверено;требует проверки;требует проверки;—;нет;2026-07-22;—
COUNTRY_NL;Нидерланды;Zorginstituut Nederland;zin.nl;не проверено;требует проверки;требует проверки;—;нет;2026-07-22;—
