source_id;название;тип;юрисдикция;орган_автор;дата;номер;URL;статус;дата_проверки;HTTP_результат;действующий;раздел;подтверждает;качество;ограничения;примечание
SRC_WHO_001;WHO guidance on nutrition in long-term care (заголовок требует проверки);Руководство;международный;World Health Organization;;;https://www.who.int;не верифицировано;2026-07-22;404 на проверенной странице;не определено;06,10;организация питания;не определено;конкретный документ и URL требуют поиска;требуется верификация
SRC_WHO_002;WHO Integrated Care for Older People (ICOPE) (заголовок требует проверки);Руководство;международный;World Health Organization;;;https://www.who.int;не верифицировано;2026-07-22;не проверено;не определено;06,10;интегрированная помощь;не определено;применимость к психическим расстройствам требует проверки;требуется верификация
SRC_OECD_001;OECD Reviews of Long-term Care (заголовок требует проверки);Обзор;международный;OECD;;;https://www.oecd.org;не верифицировано;2026-07-22;timeout;не определено;06,14,19;long-term care;не определено;сайт недоступен;требуется верификация
SRC_UN_CRPD;Convention on the Rights of Persons with Disabilities;Конвенция;международный;ООН;2006-12-13;;;не верифицировано;2026-07-22;не проверено;ратифицирована РФ (требует проверки);05;права инвалидов;высокий;текст требует проверки;ключевой источник
SRC_UK_CQC_001;CQC guidance on nutrition and hydration (заголовок требует проверки);Руководство;UK;Care Quality Commission;;;https://www.cqc.org.uk;не верифицировано;2026-07-22;404 на проверенной странице;не определено;07,10,15;питание и гидратация;не определено;актуальный URL требует поиска;требуется верификация
SRC_UK_CQC_002;CQC Key Lines of Enquiry (KLOE) (заголовок требует проверки);Руководство;UK;Care Quality Commission;;;https://www.cqc.org.uk;не верифицировано;2026-07-22;не проверено;не определено;15;инспекции;не определено;требуется верификация;требуется верификация
SRC_UK_ACT_2000;Care Standards Act / Health and Social Care Act (заголовок требует проверки);Закон;UK;Parliament of the United Kingdom;;;не верифицировано;2026-07-22;не проверено;не определено;05;правовая основа;не определено;актуальная редакция требует проверки;требуется верификация
SRC_SE_SOCSTY_001;Socialstyrelsen guidelines on nutrition in social care (заголовок требует проверки);Руководство;Швеция;Socialstyrelsen;;;https://www.socialstyrelsen.se;не верифицировано;2026-07-22;timeout;не определено;10,15;питание;не определено;сайт недоступен;требуется верификация
SRC_SE_SBN_001;Swedish National Board of Health and Welfare regulations (заголовок требует проверки);Нормативный акт;Швеция;Socialstyrelsen;;;не верифицировано;2026-07-22;не проверено;не определено;05,15;качество ухода;не определено;требуется верификация;требуется верификация
SRC_FI_STAKES_001;Finnish guidelines on nutrition in social care (заголовок требует проверки);Руководство;Финляндия;THL (National Institute for Health and Welfare);;;не верифицировано;2026-07-22;не проверено;не определено;10;питание;не определено;требуется верификация;требуется верификация
SRC_NO_HELSED_001;Norwegian guidelines on nutrition in long-term care (заголовок требует проверки);Руководство;Норвегия;Helsedirektoratet (Directorate of Health);;;не верифицировано;2026-07-22;не проверено;не определено;10;питание;не определено;требуется верификация;требуется верификация
SRC_DK_HIQ_001;Danish guidelines on nutrition in residential care (заголовок требует проверки);Руководство;Дания;Sundhedsstyrelsen / HIQ;;;не верифицировано;2026-07-22;timeout/403;не определено;10;питание;не определено;сайт недоступен;требуется верификация
SRC_DE_BARMER_001;German guidelines on nutrition in residential care (заголовок требует проверки);Руководство;Германия;Medizinischer Dienst / Bundesministerium für Gesundheit;;;не верифицировано;2026-07-22;не проверено;не определено;10,15;питание;не определено;требуется верификация;требуется верификация
SRC_FR_HAS_001;French guidelines on nutrition in residential care (заголовок требует проверки);Руководство;Франция;Haute Autorité de Santé (HAS);;;не верифицировано;2026-07-22;не проверено;не определено;10,15;питание;не определено;требуется верификация;требуется верификация
SRC_CA_ACC_001;Canadian guidelines on long-term care nutrition (заголовок требует проверки);Руководство;Канада;Accreditation Canada / provincial regulators;;;не верифицировано;2026-07-22;не проверено;не определено;10,15;питание;не определено;требуется верификация;требуется верификация
SRC_US_CMS_001;CMS guidance on nutrition in long-term care (заголовок требует проверки);Руководство;США;Centers for Medicare & Medicaid Services;;;https://www.cms.gov;не верифицировано;2026-07-22;не проверено;не определено;05,10,15;питание;не определено;требуется верификация;требуется верификация
SRC_US_CDC_001;CDC guidance on nutrition (заголовок требует проверки);Руководство;США;Centers for Disease Control and Prevention;;;https://www.cdc.gov;не верифицировано;2026-07-22;timeout;не определено;10;питание;не определено;сайт недоступен;требуется верификация
SRC_AU_ACQ_001;Aged Care Quality Standards (заголовок требует проверки);Стандарт;Австралия;Aged Care Quality and Safety Commission;;;https://agedcarequality.gov.au;не верифицировано;2026-07-22;301 (главная доступна);не определено;15;качество ухода;не определено;актуальный URL стандарта требует поиска;требуется верификация
SRC_AU_AIHW_001;AIHW reports on aged care (заголовок требует проверки);Отчёт;Австралия;Australian Institute of Health and Welfare;;;https://www.aihw.gov.au;не верифицировано;2026-07-22;403;не определено;14,19;статистика;не определено;сайт недоступен;требуется верификация
SRC_JP_MHLW_001;Japanese guidelines on nutrition in long-term care (заголовок требует проверки);Руководство;Япония;Ministry of Health Labour and Welfare;;;https://www.mhlw.go.jp;не верифицировано;2026-07-22;не проверено;не определено;10,14;питание;не определено;требуется верификация;требуется верификация
SRC_NL_ZIN_001;Dutch guidelines on long-term care (заголовок требует проверки);Руководство;Нидерланды;Zorginstituut Nederland;;;не верифицировано;2026-07-22;не проверено;не определено;10,15;long-term care;не определено;требуется верификация;требуется верификация
SRC_IDDSI_001;IDDSI Framework for Texture-Modified Foods and Thickened Liquids;Стандарт;международный;International Dysphagia Diet Standardisation Initiative;;;https://iddsi.org;не верифицировано;2026-07-22;не проверено;не определено;11;текстурная модификация;не определено;требуется верификация;ключевой источник по дисфагии
SRC_ESPAD_001;ESPEN guidelines on nutrition in geriatrics (заголовок требует проверки);Клинические рекомендации;международный;European Society for Clinical Nutrition and Metabolism;;;https://www.espen.org;не верифицировано;2026-07-22;не проверено;не определено;10;клиническое питание;не определено;применимость к социальным учреждениям требует проверки;требуется верификация
