intl_id;страна;оригинальное название;русский перевод;орг или автор;вид документа;дата;URL;статус;дата проверки;применимость в РФ;категория;примечание
INTL_001;ООН;Convention on the Rights of Persons with Disabilities;Конвенция о правах инвалидов;ООН;Конвенция;2006-12-13;;ратифицирована РФ (требует проверки);2026-07-22;применима (статус требует проверки);права инвалидов;ключевой международный источник
INTL_002;ВОЗ;WHO guidance on long-term care nutrition;Руководство ВОЗ по питанию в длительном уходе;Всемирная организация здравоохранения;Руководство;;;действующий (требует проверки);2026-07-22;применимо после адаптации;питание;требуется верификация
INTL_003;OECD;OECD reviews of long-term care;Обзоры ОЭСР по длительному уходу;OECD;Обзор;;;действующий (требует проверки);2026-07-22;применимо после адаптации;long-term care;требуется верификация
INTL_004;Финляндия;Finnish guidelines on supported living;Финские руководства по сопровождаемому проживанию;;;не проверено (нет веб-доступа);2026-07-22;требует адаптации;supported living;требуется верификация
INTL_005;Швеция;Swedish person-centered care guidelines;Шведские руководства по персонцентрированной помощи;;;не проверено;2026-07-22;требует адаптации;person-centered care;требуется верификация
INTL_006;Норвегия;Norwegian long-term care standards;Норвежские стандарты длительного ухода;;;не проверено;2026-07-22;требует адаптации;long-term care;требуется верификация
INTL_007;Германия;German nutrition standards in residential care;Немецкие стандарты питания в стационарном уходе;;;не проверено;2026-07-22;требует адаптации;питание;требуется верификация
INTL_008;Франция;French guidelines on dysphagia management;Французские руководства по ведению дисфагии;;;не проверено;2026-07-22;требует адаптации;дисфагия;требуется верификация
INTL_009;Великобритания;UK CQC guidance on nutrition and hydration;Руководство CQC по питанию и гидратации;Care Quality Commission;;;не проверено;2026-07-22;требует адаптации;питание;требуется верификация
INTL_010;Канада;Canadian long-term care standards;Канадские стандарты длительного ухода;;;не проверено;2026-07-22;требует адаптации;long-term care;требуется верификация
INTL_011;США;CMS guidance on long-term care nutrition;Руководство CMS по питанию в длительном уходе;Centers for Medicare & Medicaid Services;;;не проверено;2026-07-22;требует адаптации;питание;требуется верификация
INTL_012;Австралия;Australian aged care quality standards;Австралийские стандарты качества ухода за пожилыми;;;не проверено;2026-07-22;требует адаптации;качество ухода;требуется верификация
INTL_013;Япония;Japanese long-term care insurance guidelines;Японские руководства по страхованию длительного ухода;;;не проверено;2026-07-22;требует адаптации;long-term care;требуется верификация
INTL_014;ВОЗ;WHO Integrated care for older people (ICOPE);Интегрированная помощь пожилым;ВОЗ;Руководство;;;не проверено;2026-07-22;требует адаптации;питание;требуется верификация
