claim_id;текст_утверждения;раздел;source_id;уровень_уверенности;верифицировано;примечание
CLAIM_001;Конвенция ООН о правах инвалидов закрепляет supported decision-making;05,08;SRC_UN_CRPD;низкий;нет;текст ст.12 требует проверки
CLAIM_002;ВОЗ выпускала руководство по питанию в long-term care;06,10;SRC_WHO_001;низкий;нет;существование и реквизиты требуют проверки
CLAIM_003;IDDSI Framework определяет уровни текстурно-модифицированных рационов;11;SRC_IDDSI_001;низкий;нет;актуальная версия требует проверки
CLAIM_004;ESPEN выпускала клинические рекомендации по питанию в гериатрии;10;SRC_ESPAD_001;низкий;нет;применимость к социальным учреждениям требует проверки
CLAIM_005;CQC регулирует качество long-term care в UK;15;SRC_UK_CQC_001;низкий;нет;требует верификации актуального мандата
CLAIM_006;Aged Care Quality Standards регулируют качество ухода в Австралии;15;SRC_AU_ACQ_001;низкий;нет;актуальный URL стандарта требует поиска
CLAIM_007;Socialstyrelsen регулирует качество ухода в Швеции;15;SRC_SE_SOCSTY_001;низкий;нет;сайт недоступен
CLAIM_008;OECD публикует обзоры long-term care;06,14,19;SRC_OECD_001;низкий;нет;сайт недоступен
CLAIM_009;Деинституционализация — тренд в развитых странах;18;—;низкий;нет;требует верификации по источникам
CLAIM_010;Person-centered care включает право на повседневный выбор;07;—;низкий;нет;требует верификации по национальным стандартам

ПРИМЕЧАНИЕ: Все утверждения имеют уровень уверенности «низкий» и статус «не верифицировано». Каркас не содержит доказанных утверждений.
