ID_показателя,Группа,Название,Числитель,Знаменатель,Источник_данных,Периодичность,Ответственный,Единица,Целевой_диапазон,Риск_интерпретации,Связь_с_другими_показателями
P-1,1.Заполненность,Пищевые_карты_заполнены,Число_жителей_с_заполненной_картой,Общее_число_жителей_в_отделении,Пищевые_карты_приложение_3,1_раз_в_30_дней,Старшая_медсестра,процент,"70-100","100% карт ≠ 100% правильно; нужна проверка качества заполнения",Связан с P-3 (заказы)
P-2,1.Заполненность,Карты_с_датой_пересмотра_текстуры,Число_жителей_с_актуальной_датой_пересмотра,Общее_число_жителей_с_назначенной_текстурой,Пищевые_карты,1_раз_в_30_дней,Врач,процент,"90-100","Дата пересмотра может быть формальной; нужна сверка с врачом",Связан с P-12
P-3,1.Заполненность,Список_риска_дисфагии_актуализирован,Число_жителей_в_списке_с_актуальной_отметкой,Общее_число_жителей_в_списке,Пищевые_карты + журнал 6 признаков,1_раз_в_30_дней,Врач + старшая_медсестра,процент,"80-100","Список может быть устаревшим; нужна сверка",Связан с P-11
P-4,2.Доступный_выбор,Приёмы_с_реально_доступным_выбором,Число_обедов_с_2_вариантами,Общее_число_обедов_в_периоде,Журнал_заказа_приложение_4,Ежедневно,Старшая_смены,процент,"80-100","100% обедов ≠ 100% жителей выбрали; человек вправе выбрать стандарт",Главный показатель пилота
P-5,2.Доступный_выбор,Жители_получившие_выбор_хотя_бы_1_раз,Число_жителей_кому_предлагался_выбор,Общее_число_жителей_в_отделении,Журнал_заказа,1_раз_в_30_дней,Старшая_смены,процент,"90-100","Может включать формальные предложения без реальной возможности выбора",Связан с P-4
P-6,2.Доступный_выбор,Пар_эквивалентов_заявлено,Число_пар_утверждённых_врачом,Не_менее_3,Протокол_рабочей_группы,1_раз_в_30_дней,Диетсестра + врач,число,"3-5","Слишком много пар снижает операционную надёжность; слишком мало не даёт выбора",Связан с P-7
P-7,3.Исполнение,Заказы_исполненные_точно,Число_заказов_поданных_точно_по_журналу,Общее_число_заказов,Журнал_заказа + акт_приёма,Ежедневно,Завпроизводства,процент,"85-100","100% - редкость; важен тренд, не абсолют",Связан с P-6 и P-4
P-8,3.Исполнение,Заказы_с_правильной_текстурой,Число_порций_с_текстурой_соответствующей_назначению,Общее_число_порций_с_назначенной_текстурой,Журнал_заказа + журнал_текстур,Ежедневно,Завпроизводства,процент,"90-100","IDDSI-тест проводится поваром; может быть формальным",Связан с P-1 и P-12
P-9,3.Исполнение,Заказы_с_правильным_учётом_лекарств,Число_заказов_с_пометкой_о_лекарственных_ограничениях,Общее_число_заказов_для_жителей_с_назначениями,Журнал_заказа + таблица_врача,Ежедневно,Старшая_смены,процент,"95-100","Требует совместной работы повара и медсестры",Связан с P-1
P-10,4.Отходы,Тарелочные_остатки_средние,Сумма_остатков_по_приёмам,Число_приёмов_×_число_жителей,Журнал_остатков_приложение_25,Ежедневно,Старшая_смены,грамм_на_человека,"20-100","Зависит от контингента; важен тренд",Связан с P-11
P-11,4.Отходы,Приёмы_с_отказом_≥50%,Число_приёмов_с_остатком_≥50%_порции,Общее_число_приёмов,Журнал_остатков,Ежедневно,Старшая_смены,процент,"≤20","Цель - выявить аутсайдеров и заменить их парами; не ноль",Связан с P-6 и P-7
P-12,4.Отходы,Кухонные_остатки,Масса_пищевых_отходов_кухни,Число_жителей_×_дни,Журнал_отходов,Ежедневно,Завпроизводства,грамм_на_человека_в_день,"30-80","Снижение после замера - это и есть KPI; не абсолют",—
P-13,4.Отходы,Замены_по_таблице_пар,Число_замен_по_таблице_пар,Общее_число_заказов,Журнал_замен,Ежедневно,Старшая_смены,процент,"5-25","Большое число замен ≠ плохо если исполняется",Связан с P-6
P-14,4.Отходы,Возвраты_из_зала,Число_блюд_возвращённых_из_зала_в_кухню,Общее_число_поданных_блюд,Журнал_возвратов,Ежедневно,Старшая_смены,процент,"≤5","Возврат - сигнал о качестве подачи или текстуры",—
P-15,5.Риск,Пневмонии_за_период,Число_пневмоний_диагностированных,Число_жителей_×_дни_в_отделении,Мед_документация,1_раз_в_30_дней,Врач,на_1000_жителе_дней,"≤2","0 за 90 дней не гарантировано; цель - отсутствие роста",Стоп-критерий: рост ≥30%
P-16,5.Риск,Падения_в_столовой,Число_падений,—,Журнал_инцидентов,Ежедневно,Старшая_смены,число_за_месяц,"Сравнение_с_предыдущим_кварталом","Не все падения связаны с пилотом; важна динамика",—
P-17,5.Риск,Инциденты_за_столом,Число_агрессивных_инцидентов,—,Журнал_инцидентов,Ежедневно,Старшая_смены,число_за_месяц,"Сравнение_с_предыдущим_кварталом","Полезно для оценки социальной среды стола",—
P-18,5.Риск,Гиперфагические_эпизоды,Число_эпизодов_переедания,—,Журнал_смены,Ежедневно,Врач + смена,число_за_месяц,"Сравнение_с_предыдущим_кварталом","Только для жителей на весогенных препаратах",—
