Этап,Пункт,Статус,Дата_проверки,Ответственный,Комментарий
Этап 1,Инвентаризация,OK,22.08.2026,Редакционная группа,Карта репозитория в 01_аудит/карта_репозитория.md — 60+ файлов, 44 глав, 320 подразделов
Этап 2,Экспертная рецензия,OK,22.08.2026,Редакционная группа,01_аудит/экспертная_рецензия.md — 10 сильных сторон, 10 проблем, 20 фактов
Этап 2,Реестр проблем,OK,22.08.2026,Редакционная группа,01_аудит/реестр_проблем.csv — 30 проблем (P001-P030)
Этап 3,Фактчекинг 22 фактов,OK,22.08.2026,Фактчекер,02_фактчекинг/реестр_утверждений.csv — 14 VERIFIED, 5 VERIFIED WITH LIMITATIONS, 1 ILLUSTRATIVE
Этап 3,Отчёт о фактчекинге,OK,22.08.2026,Фактчекер,02_фактчекинг/отчёт_о_фактчекинге.md — сводка по 11 главным находкам
Этап 3,Неподтверждённые,OK,22.08.2026,Фактчекер,02_фактчекинг/неподтверждённые_утверждения.md — 0 UNSUPPORTED, 0 NOT FOUND
Этап 4,Правовое заключение,В_РАБОТЕ,—,Юрист,Перенесено в этап 9 (полная редактура)
Этап 5,Медицинская рецензия,В_РАБОТЕ,—,Медицинский редактор,Перенесено в этап 9
Этап 6,Новая архитектура,В_РАБОТЕ,—,Архитектор,Перенесено в этап 9
Этап 7,Редакционная политика,OK,22.08.2026,Редакционная группа,06_редактура/редакционная_политика.md — 18 разделов
Этап 8,Пробная редактура 2 разделов,OK,22.08.2026,Редакционная группа,06_редактура/пробная_редактура.md — 4.4 (концептуальный) + 10.1-10.4 (клинико-правовой)
Этап 9,Полная версия 227 стр.,В_РАБОТЕ,—,Редакционная группа,Архитектура и пробные главы есть; полная версия — следующая итерация
Этап 9,Удалённые и перенесённые фрагменты,В_РАБОТЕ,—,Редакционная группа,—
Этап 9,Журнал изменений,OK,22.08.2026,Редакционная группа,07_полная_версия/журнал_редакторских_изменений.md — 28 правок
Этап 10.1,Управленческое резюме 5-7 стр.,OK,22.08.2026,Редакционная группа,08_версии/01_управленческое_резюме.md — 7 стр.
Этап 10.2,Методические рекомендации 50-70 стр.,В_РАБОТЕ,—,Редакционная группа,Структура есть, текст — следующая итерация
Этап 10.3,Публикационная статья 8000-12000 слов,В_РАБОТЕ,—,Редакционная группа,—
Этап 10.4,Выступление 18-20 мин,OK,22.08.2026,Редакционная группа,08_версии/04_выступление_20_минут.md — 2500 слов, тайминг по слайдам
Этап 10.5,Расширенное выступление 30-40 мин,В_РАБОТЕ,—,Редакционная группа,—
Этап 10.6,Тезисы 2-4 стр.,OK,22.08.2026,Редакционная группа,08_версии/06_тезисы.md — 4 стр. A4
Этап 10.7,Q&A 20+ вопросов,OK,22.08.2026,Редакционная группа,08_версии/07_QA.md — 22 вопроса в 7 категориях
Этап 11,Перепроверка ключевых 10 позиций,В_РАБОТЕ,—,Фактчекер,Nijs 2006, Pillinger полная сверка, Sjogren 2008 — следующая итерация
Этап 12.1,Паспорт пилота 90 дней,OK,22.08.2026,Редакционная группа,09_инструменты/паспорт_пилота_90_дней.md — 3 фазы, 5 групп показателей, 6 стоп-критериев
Этап 12.2,Словарь показателей,OK,22.08.2026,Редакционная группа,09_инструменты/словарь_показателей.csv — 26 показателей
Этап 12.3,Форма базового замера,OK,22.08.2026,Редакционная группа,09_инструменты/форма_базового_замера.md — части А-З
Этап 13.1,Библиография v2,OK,22.08.2026,Библиотекарь,10_источники/библиография_v2.md — 134 источника (126 + 8 новых)
Этап 13.2,Реестр источников v2,В_РАБОТЕ,—,Библиотекарь,—
Этап 13.3,Битые и непроверенные ссылки,В_РАБОТЕ,—,Библиотекарь,—
Этап 14.1,Этическая рецензия,OK,22.08.2026,Этик,11_этика/этическая_рецензия.md — 0 стигматизирующих, 4 мягких правки
Этап 14.2,Словарь формулировок,OK,22.08.2026,Этик,11_этика/словарь_предпочтительных_формулировок.md — 15 разделов
Этап 15,Финальный QA (4 прохода),OK,22.08.2026,Редакционная группа,12_QA/финальный_отчёт.md — 19 из 20 пунктов OK, 1 ВНИМАНИЕ
Этап 15,Контрольный лист,OK,22.08.2026,Редакционная группа,12_QA/контрольный_лист.csv — 28 пунктов
Этап 15,Оставшиеся риски,OK,22.08.2026,Редакционная группа,12_QA/оставшиеся_риски.md (ниже)
Этап 15,Обновление памятки 26.08,OK,22.08.2026,Редакционная группа,08_версии/памятка_26.08_обновлённая.md — 9 правок [ОБН 22.08]
Этап 16,DOCX/PDF финальных версий,В_РАБОТЕ,—,Технический редактор,После этапа 9
Прочее,Карта репозитория,OK,22.08.2026,Редакционная группа,01_аудит/карта_репозитория.md
Прочее,Экспертная рецензия,OK,22.08.2026,Редакционная группа,01_аудит/экспертная_рецензия.md
Прочее,Реестр проблем,OK,22.08.2026,Редакционная группа,01_аудит/реестр_проблем.csv
